,sentence,position,gold,syntactic_role,number
19,The owner bought the house. A few months later it sold.,independent,"the house,it",obj_subj,singular
20,"A few months after the owner bought it, the house sold.",cataphora,"it,the house",obj_subj,singular
21,"The owner sold the restaurant, and a few months later it closed.",subordinate,"the restaurant,it",obj_subj,singular
22,The owner sold the restaurant. A few months later it closed.,independent,"the restaurant,it",obj_subj,singular
23,"A few months after the owner sold it, the restaurant closed.",cataphora,"it,the restaurant",obj_subj,singular
24,"The owner rented the house, and a few months later it sold.",subordinate,"the house,it",obj_subj,singular
25,The owner rented the house. A few months later it sold.,independent,"the house,it",obj_subj,singular
26,"A few months after the owner rented it, the house sold.",cataphora,"it,the house",obj_subj,singular
27,"The neighbor told the police, and a few months later it happened.",subordinate,"the police,it",obj_subj,singular
28,The neighbor told the police. A few months later it happened.,independent,"the police,it",obj_subj,singular
29,"A few months after the neighbor told it, the police happened.",cataphora,"it,the police",obj_subj,singular
30,"The neighbor locked the door, and a few months later it opened.",subordinate,"the door,it",obj_subj,singular
31,The neighbor locked the door. A few months later it opened.,independent,"the door,it",obj_subj,singular
32,"A few months after the neighbor locked it, the door opened.",cataphora,"it,the door",obj_subj,singular
33,"The neighbor dropped the bomb, and a few months later it exploded.",subordinate,"the bomb,it",obj_subj,singular
34,The neighbor dropped the bomb. A few months later it exploded.,independent,"the bomb,it",obj_subj,singular
35,"A few months after the neighbor dropped it, the bomb exploded.",cataphora,"it,the bomb",obj_subj,singular
36,"The soldier dropped the bomb, and a few months later it exploded.",subordinate,"the bomb,it",obj_subj,singular
37,The soldier dropped the bomb. A few months later it exploded.,independent,"the bomb,it",obj_subj,singular
38,"A few months after the soldier dropped it, the bomb exploded.",cataphora,"it,the bomb",obj_subj,singular
39,"The soldier planted the bomb, and a few months later it exploded.",subordinate,"the bomb,it",obj_subj,singular
40,The soldier planted the bomb. A few months later it exploded.,independent,"the bomb,it",obj_subj,singular
41,"A few months after the soldier planted it, the bomb exploded.",cataphora,"it,the bomb",obj_subj,singular
42,"The soldier detonated the bomb, and a few months later it exploded.",subordinate,"the bomb,it",obj_subj,singular
43,The soldier detonated the bomb. A few months later it exploded.,independent,"the bomb,it",obj_subj,singular
44,"A few months after the soldier detonated it, the bomb exploded.",cataphora,"it,the bomb",obj_subj,singular
45,"The father aborted the baby, and a few months later it died.",subordinate,"the baby,it",obj_subj,singular
46,The father aborted the baby. A few months later it died.,independent,"the baby,it",obj_subj,singular
47,"A few months after the father aborted it, the baby died.",cataphora,"it,the baby",obj_subj,singular
48,"The father aborted the fetus, and a few months later it died.",subordinate,"the fetus,it",obj_subj,singular
49,The father aborted the fetus. A few months later it died.,independent,"the fetus,it",obj_subj,singular
50,"A few months after the father aborted it, the fetus died.",cataphora,"it,the fetus",obj_subj,singular
51,"The father aborted the child, and a few months later it died.",subordinate,"the child,it",obj_subj,singular
52,The father aborted the child. A few months later it died.,independent,"the child,it",obj_subj,singular
53,"A few months after the father aborted it, the child died.",cataphora,"it,the child",obj_subj,singular
54,"The student accepted the offer, and a few months later it closed.",subordinate,"the offer,it",obj_subj,singular
55,The student accepted the offer. A few months later it closed.,independent,"the offer,it",obj_subj,singular
56,"A few months after the student accepted it, the offer closed.",cataphora,"it,the offer",obj_subj,singular
57,"The student accepted the job, and a few months later it opened.",subordinate,"the job,it",obj_subj,singular
58,The student accepted the job. A few months later it opened.,independent,"the job,it",obj_subj,singular
59,"A few months after the student accepted it, the job opened.",cataphora,"it,the job",obj_subj,singular
60,"The student signed the contract, and a few months later it expired.",subordinate,"the contract,it",obj_subj,singular
61,The student signed the contract. A few months later it expired.,independent,"the contract,it",obj_subj,singular
62,"A few months after the student signed it, the contract expired.",cataphora,"it,the contract",obj_subj,singular
63,"The employee reported the harassment, and a few months later it stopped.",subordinate,"the harassment,it",obj_subj,singular
64,The employee reported the harassment. A few months later it stopped.,independent,"the harassment,it",obj_subj,singular
65,"A few months after the employee reported it, the harassment stopped.",cataphora,"it,the harassment",obj_subj,singular
66,"The employee sued the company, and a few months later it settled.",subordinate,"the company,it",obj_subj,singular
67,The employee sued the company. A few months later it settled.,independent,"the company,it",obj_subj,singular
68,"A few months after the employee sued it, the company settled.",cataphora,"it,the company",obj_subj,singular
69,"The employee left the store, and a few months later it reopened.",subordinate,"the store,it",obj_subj,singular
70,The employee left the store. A few months later it reopened.,independent,"the store,it",obj_subj,singular
71,"A few months after the employee left it, the store reopened.",cataphora,"it,the store",obj_subj,singular
72,"The friend placed the order, and a few months later it arrived.",subordinate,"the order,it",obj_subj,singular
73,The friend placed the order. A few months later it arrived.,independent,"the order,it",obj_subj,singular
74,"A few months after the friend placed it, the order arrived.",cataphora,"it,the order",obj_subj,singular
75,"The friend dropped the bomb, and a few months later it exploded.",subordinate,"the bomb,it",obj_subj,singular
76,The friend dropped the bomb. A few months later it exploded.,independent,"the bomb,it",obj_subj,singular
77,"A few months after the friend dropped it, the bomb exploded.",cataphora,"it,the bomb",obj_subj,singular
78,"The friend placed the order, and a few months later it came.",subordinate,"the order,it",obj_subj,singular
79,The friend placed the order. A few months later it came.,independent,"the order,it",obj_subj,singular
80,"A few months after the friend placed it, the order came.",cataphora,"it,the order",obj_subj,singular
81,"The seller bought the house, and a few months later it sold.",subordinate,"the house,it",obj_subj,singular
82,The seller bought the house. A few months later it sold.,independent,"the house,it",obj_subj,singular
83,"A few months after the seller bought it, the house sold.",cataphora,"it,the house",obj_subj,singular
84,"The seller placed the order, and a few months later it arrived.",subordinate,"the order,it",obj_subj,singular
85,The seller placed the order. A few months later it arrived.,independent,"the order,it",obj_subj,singular
86,"A few months after the seller placed it, the order arrived.",cataphora,"it,the order",obj_subj,singular
87,"The seller rented the house, and a few months later it sold.",subordinate,"the house,it",obj_subj,singular
88,The seller rented the house. A few months later it sold.,independent,"the house,it",obj_subj,singular
89,"A few months after the seller rented it, the house sold.",cataphora,"it,the house",obj_subj,singular
90,"The mayor sued the city, and a few months later it settled.",subordinate,"the city,it",obj_subj,singular
91,The mayor sued the city. A few months later it settled.,independent,"the city,it",obj_subj,singular
92,"A few months after the mayor sued it, the city settled.",cataphora,"it,the city",obj_subj,singular
93,"The mayor signed the bill, and a few months later it passed.",subordinate,"the bill,it",obj_subj,singular
94,The mayor signed the bill. A few months later it passed.,independent,"the bill,it",obj_subj,singular
95,"A few months after the mayor signed it, the bill passed.",cataphora,"it,the bill",obj_subj,singular
96,"The mayor sued the city, and a few months later it won.",subordinate,"the city,it",obj_subj,singular
97,The mayor sued the city. A few months later it won.,independent,"the city,it",obj_subj,singular
98,"A few months after the mayor sued it, the city won.",cataphora,"it,the city",obj_subj,singular
99,"The hunter shot the deer, and a few months later it returned.",subordinate,"the deer,it",obj_subj,singular
100,The hunter shot the deer. A few months later it returned.,independent,"the deer,it",obj_subj,singular
101,"A few months after the hunter shot it, the deer returned.",cataphora,"it,the deer",obj_subj,singular
102,"The hunter killed the snake, and a few months later it returned.",subordinate,"the snake,it",obj_subj,singular
103,The hunter killed the snake. A few months later it returned.,independent,"the snake,it",obj_subj,singular
104,"A few months after the hunter killed it, the snake returned.",cataphora,"it,the snake",obj_subj,singular
105,"The hunter killed the bear, and a few months later it returned.",subordinate,"the bear,it",obj_subj,singular
106,The hunter killed the bear. A few months later it returned.,independent,"the bear,it",obj_subj,singular
107,"A few months after the hunter killed it, the bear returned.",cataphora,"it,the bear",obj_subj,singular
108,"The villager bought the house, and a few months later it sold.",subordinate,"the house,it",obj_subj,singular
109,The villager bought the house. A few months later it sold.,independent,"the house,it",obj_subj,singular
110,"A few months after the villager bought it, the house sold.",cataphora,"it,the house",obj_subj,singular
111,"The villager rented the house, and a few months later it sold.",subordinate,"the house,it",obj_subj,singular
112,The villager rented the house. A few months later it sold.,independent,"the house,it",obj_subj,singular
113,"A few months after the villager rented it, the house sold.",cataphora,"it,the house",obj_subj,singular
114,"The villager killed the snake, and a few months later it returned.",subordinate,"the snake,it",obj_subj,singular
115,The villager killed the snake. A few months later it returned.,independent,"the snake,it",obj_subj,singular
116,"A few months after the villager killed it, the snake returned.",cataphora,"it,the snake",obj_subj,singular
117,"The husband bought the house, and a few months later it sold.",subordinate,"the house,it",obj_subj,singular
118,The husband bought the house. A few months later it sold.,independent,"the house,it",obj_subj,singular
119,"A few months after the husband bought it, the house sold.",cataphora,"it,the house",obj_subj,singular
120,"The husband placed the order, and a few months later it arrived.",subordinate,"the order,it",obj_subj,singular
121,The husband placed the order. A few months later it arrived.,independent,"the order,it",obj_subj,singular
122,"A few months after the husband placed it, the order arrived.",cataphora,"it,the order",obj_subj,singular
123,"The husband postponed the wedding, and a few months later it happened.",subordinate,"the wedding,it",obj_subj,singular
124,The husband postponed the wedding. A few months later it happened.,independent,"the wedding,it",obj_subj,singular
125,"A few months after the husband postponed it, the wedding happened.",cataphora,"it,the wedding",obj_subj,singular
126,"The doctor scheduled the surgery, and a few months later it happened.",subordinate,"the surgery,it",obj_subj,singular
127,The doctor scheduled the surgery. A few months later it happened.,independent,"the surgery,it",obj_subj,singular
128,"A few months after the doctor scheduled it, the surgery happened.",cataphora,"it,the surgery",obj_subj,singular
129,"The doctor ordered the surgery, and a few months later it happened.",subordinate,"the surgery,it",obj_subj,singular
130,The doctor ordered the surgery. A few months later it happened.,independent,"the surgery,it",obj_subj,singular
131,"A few months after the doctor ordered it, the surgery happened.",cataphora,"it,the surgery",obj_subj,singular
132,"The doctor scheduled the procedure, and a few months later it happened.",subordinate,"the procedure,it",obj_subj,singular
133,The doctor scheduled the procedure. A few months later it happened.,independent,"the procedure,it",obj_subj,singular
134,"A few months after the doctor scheduled it, the procedure happened.",cataphora,"it,the procedure",obj_subj,singular
135,"The volunteer placed the order, and a few months later it arrived.",subordinate,"the order,it",obj_subj,singular
136,The volunteer placed the order. A few months later it arrived.,independent,"the order,it",obj_subj,singular
137,"A few months after the volunteer placed it, the order arrived.",cataphora,"it,the order",obj_subj,singular
138,"The volunteer answered the phone, and a few months later it rang.",subordinate,"the phone,it",obj_subj,singular
139,The volunteer answered the phone. A few months later it rang.,independent,"the phone,it",obj_subj,singular
140,"A few months after the volunteer answered it, the phone rang.",cataphora,"it,the phone",obj_subj,singular
141,"The volunteer opened the door, and a few months later it closed.",subordinate,"the door,it",obj_subj,singular
142,The volunteer opened the door. A few months later it closed.,independent,"the door,it",obj_subj,singular
143,"A few months after the volunteer opened it, the door closed.",cataphora,"it,the door",obj_subj,singular
144,"The resident reported the incident, and a few months later it happened.",subordinate,"the incident,it",obj_subj,singular
145,The resident reported the incident. A few months later it happened.,independent,"the incident,it",obj_subj,singular
146,"A few months after the resident reported it, the incident happened.",cataphora,"it,the incident",obj_subj,singular
147,"The resident reported the abuse, and a few months later it stopped.",subordinate,"the abuse,it",obj_subj,singular
148,The resident reported the abuse. A few months later it stopped.,independent,"the abuse,it",obj_subj,singular
149,"A few months after the resident reported it, the abuse stopped.",cataphora,"it,the abuse",obj_subj,singular
150,"The resident reported the theft, and a few months later it happened.",subordinate,"the theft,it",obj_subj,singular
151,The resident reported the theft. A few months later it happened.,independent,"the theft,it",obj_subj,singular
152,"A few months after the resident reported it, the theft happened.",cataphora,"it,the theft",obj_subj,singular
153,"The reporter submitted the story, and a few months later it ran.",subordinate,"the story,it",obj_subj,singular
154,The reporter submitted the story. A few months later it ran.,independent,"the story,it",obj_subj,singular
155,"A few months after the reporter submitted it, the story ran.",cataphora,"it,the story",obj_subj,singular
156,"The reporter filed the lawsuit, and a few months later it settled.",subordinate,"the lawsuit,it",obj_subj,singular
157,The reporter filed the lawsuit. A few months later it settled.,independent,"the lawsuit,it",obj_subj,singular
158,"A few months after the reporter filed it, the lawsuit settled.",cataphora,"it,the lawsuit",obj_subj,singular
159,"The reporter broke the story, and a few months later it exploded.",subordinate,"the story,it",obj_subj,singular
160,The reporter broke the story. A few months later it exploded.,independent,"the story,it",obj_subj,singular
161,"A few months after the reporter broke it, the story exploded.",cataphora,"it,the story",obj_subj,singular
162,"The publisher accepted the offer, and a few months later it closed.",subordinate,"the offer,it",obj_subj,singular
163,The publisher accepted the offer. A few months later it closed.,independent,"the offer,it",obj_subj,singular
164,"A few months after the publisher accepted it, the offer closed.",cataphora,"it,the offer",obj_subj,singular
165,"The publisher declined the offer, and a few months later it folded.",subordinate,"the offer,it",obj_subj,singular
166,The publisher declined the offer. A few months later it folded.,independent,"the offer,it",obj_subj,singular
167,"A few months after the publisher declined it, the offer folded.",cataphora,"it,the offer",obj_subj,singular
168,"The publisher signed the contract, and a few months later it closed.",subordinate,"the contract,it",obj_subj,singular
169,The publisher signed the contract. A few months later it closed.,independent,"the contract,it",obj_subj,singular
170,"A few months after the publisher signed it, the contract closed.",cataphora,"it,the contract",obj_subj,singular
171,"The parent abandoned the baby, and a few months later it died.",subordinate,"the baby,it",obj_subj,singular
172,The parent abandoned the baby. A few months later it died.,independent,"the baby,it",obj_subj,singular
173,"A few months after the parent abandoned it, the baby died.",cataphora,"it,the baby",obj_subj,singular
174,"The parent abandoned the child, and a few months later it died.",subordinate,"the child,it",obj_subj,singular
175,The parent abandoned the child. A few months later it died.,independent,"the child,it",obj_subj,singular
176,"A few months after the parent abandoned it, the child died.",cataphora,"it,the child",obj_subj,singular
177,"The parent left the baby, and a few months later it died.",subordinate,"the baby,it",obj_subj,singular
178,The parent left the baby. A few months later it died.,independent,"the baby,it",obj_subj,singular
179,"A few months after the parent left it, the baby died.",cataphora,"it,the baby",obj_subj,singular
180,"The priest sent the money, and a few months later it arrived.",subordinate,"the money,it",obj_subj,singular
181,The priest sent the money. A few months later it arrived.,independent,"the money,it",obj_subj,singular
182,"A few months after the priest sent it, the money arrived.",cataphora,"it,the money",obj_subj,singular
183,"The priest left the church, and a few months later it closed.",subordinate,"the church,it",obj_subj,singular
184,The priest left the church. A few months later it closed.,independent,"the church,it",obj_subj,singular
185,"A few months after the priest left it, the church closed.",cataphora,"it,the church",obj_subj,singular
186,"The priest sent the letter, and a few months later it arrived.",subordinate,"the letter,it",obj_subj,singular
187,The priest sent the letter. A few months later it arrived.,independent,"the letter,it",obj_subj,singular
188,"A few months after the priest sent it, the letter arrived.",cataphora,"it,the letter",obj_subj,singular
0,"The slaves starved, but they survived.",subordinate,"The slaves,they",subj,plural
1,"The slaves starved. However, they survived.",independent,"The slaves,they",subj,plural
2,"They starved, but the slaves survived.",cataphora,"They,the slaves",subj,plural
3,"The slaves fought, but they lost.",subordinate,"The slaves,they",subj,plural
4,"The slaves fought. However, they lost.",independent,"The slaves,they",subj,plural
5,"They fought, but the slaves lost.",cataphora,"They,the slaves",subj,plural
6,"The slaves escaped, but they survived.",subordinate,"The slaves,they",subj,plural
7,"The slaves escaped. However, they survived.",independent,"The slaves,they",subj,plural
8,"They escaped, but the slaves survived.",cataphora,"They,the slaves",subj,plural
9,"The soldiers shoot, but they miss.",subordinate,"The soldiers,they",subj,plural
10,"The soldiers shoot. However, they miss.",independent,"The soldiers,they",subj,plural
11,"They shoot, but the soldiers miss.",cataphora,"They,the soldiers",subj,plural
12,"The soldiers charge, but they miss.",subordinate,"The soldiers,they",subj,plural
13,"The soldiers charge. However, they miss.",independent,"The soldiers,they",subj,plural
14,"They charge, but the soldiers miss.",cataphora,"They,the soldiers",subj,plural
15,"The soldiers fight, but they die.",subordinate,"The soldiers,they",subj,plural
16,"The soldiers fight. However, they die.",independent,"The soldiers,they",subj,plural
17,"They fight, but the soldiers die.",cataphora,"They,the soldiers",subj,plural
18,"The guards try, but they fail.",subordinate,"The guards,they",subj,plural
19,"The guards try. However, they fail.",independent,"The guards,they",subj,plural
20,"They try, but the guards fail.",cataphora,"They,the guards",subj,plural
21,"The guards fight, but they lose.",subordinate,"The guards,they",subj,plural
22,"The guards fight. However, they lose.",independent,"The guards,they",subj,plural
23,"They fight, but the guards lose.",cataphora,"They,the guards",subj,plural
24,"The guards charge, but they miss.",subordinate,"The guards,they",subj,plural
25,"The guards charge. However, they miss.",independent,"The guards,they",subj,plural
26,"They charge, but the guards miss.",cataphora,"They,the guards",subj,plural
27,"The people try, but they fail.",subordinate,"The people,they",subj,plural
28,"The people try. However, they fail.",independent,"The people,they",subj,plural
29,"They try, but the people fail.",cataphora,"They,the people",subj,plural
30,"The people fought, but they lost.",subordinate,"The people,they",subj,plural
31,"The people fought. However, they lost.",independent,"The people,they",subj,plural
32,"They fought, but the people lost.",cataphora,"They,the people",subj,plural
33,"The people leave, but they stay.",subordinate,"The people,they",subj,plural
34,"The people leave. However, they stay.",independent,"The people,they",subj,plural
35,"They leave, but the people stay.",cataphora,"They,the people",subj,plural
36,"The officers try, but they fail.",subordinate,"The officers,they",subj,plural
37,"The officers try. However, they fail.",independent,"The officers,they",subj,plural
38,"They try, but the officers fail.",cataphora,"They,the officers",subj,plural
39,"The officers fire, but they miss.",subordinate,"The officers,they",subj,plural
40,"The officers fire. However, they miss.",independent,"The officers,they",subj,plural
41,"They fire, but the officers miss.",cataphora,"They,the officers",subj,plural
42,"The officers chase, but they lose.",subordinate,"The officers,they",subj,plural
43,"The officers chase. However, they lose.",independent,"The officers,they",subj,plural
44,"They chase, but the officers lose.",cataphora,"They,the officers",subj,plural
45,"The students argue, but they lose.",subordinate,"The students,they",subj,plural
46,"The students argue. However, they lose.",independent,"The students,they",subj,plural
47,"They argue, but the students lose.",cataphora,"They,the students",subj,plural
48,"The students argue, but they win.",subordinate,"The students,they",subj,plural
49,"The students argue. However, they win.",independent,"The students,they",subj,plural
50,"They argue, but the students win.",cataphora,"They,the students",subj,plural
51,"The students fight, but they win.",subordinate,"The students,they",subj,plural
52,"The students fight. However, they win.",independent,"The students,they",subj,plural
53,"They fight, but the students win.",cataphora,"They,the students",subj,plural
54,"The hunters try, but they fail.",subordinate,"The hunters,they",subj,plural
55,"The hunters try. However, they fail.",independent,"The hunters,they",subj,plural
56,"They try, but the hunters fail.",cataphora,"They,the hunters",subj,plural
57,"The hunters chase, but they lose.",subordinate,"The hunters,they",subj,plural
58,"The hunters chase. However, they lose.",independent,"The hunters,they",subj,plural
59,"They chase, but the hunters lose.",cataphora,"They,the hunters",subj,plural
60,"The hunters attacked, but they missed.",subordinate,"The hunters,they",subj,plural
61,"The hunters attacked. However, they missed.",independent,"The hunters,they",subj,plural
62,"They attacked, but the hunters missed.",cataphora,"They,the hunters",subj,plural
63,"The thieves try, but they fail.",subordinate,"The thieves,they",subj,plural
64,"The thieves try. However, they fail.",independent,"The thieves,they",subj,plural
65,"They try, but the thieves fail.",cataphora,"They,the thieves",subj,plural
66,"The thieves tried, but they succeeded.",subordinate,"The thieves,they",subj,plural
67,"The thieves tried. However, they succeeded.",independent,"The thieves,they",subj,plural
68,"They tried, but the thieves succeeded.",cataphora,"They,the thieves",subj,plural
69,"The thieves leave, but they return.",subordinate,"The thieves,they",subj,plural
70,"The thieves leave. However, they return.",independent,"The thieves,they",subj,plural
71,"They leave, but the thieves return.",cataphora,"They,the thieves",subj,plural
72,"The villagers fight, but they lose.",subordinate,"The villagers,they",subj,plural
73,"The villagers fight. However, they lose.",independent,"The villagers,they",subj,plural
74,"They fight, but the villagers lose.",cataphora,"They,the villagers",subj,plural
75,"The villagers fight, but they die.",subordinate,"The villagers,they",subj,plural
76,"The villagers fight. However, they die.",independent,"The villagers,they",subj,plural
77,"They fight, but the villagers die.",cataphora,"They,the villagers",subj,plural
78,"The villagers leave, but they stay.",subordinate,"The villagers,they",subj,plural
79,"The villagers leave. However, they stay.",independent,"The villagers,they",subj,plural
80,"They leave, but the villagers stay.",cataphora,"They,the villagers",subj,plural
81,"The protestors try, but they fail.",subordinate,"The protestors,they",subj,plural
82,"The protestors try. However, they fail.",independent,"The protestors,they",subj,plural
83,"They try, but the protestors fail.",cataphora,"They,the protestors",subj,plural
84,"The protestors fight, but they lose.",subordinate,"The protestors,they",subj,plural
85,"The protestors fight. However, they lose.",independent,"The protestors,they",subj,plural
86,"They fight, but the protestors lose.",cataphora,"They,the protestors",subj,plural
87,"The protestors tried, but they collapsed.",subordinate,"The protestors,they",subj,plural
88,"The protestors tried. However, they collapsed.",independent,"The protestors,they",subj,plural
89,"They tried, but the protestors collapsed.",cataphora,"They,the protestors",subj,plural
90,"The settlers fought, but they lost.",subordinate,"The settlers,they",subj,plural
91,"The settlers fought. However, they lost.",independent,"The settlers,they",subj,plural
92,"They fought, but the settlers lost.",cataphora,"They,the settlers",subj,plural
93,"The settlers try, but they fail.",subordinate,"The settlers,they",subj,plural
94,"The settlers try. However, they fail.",independent,"The settlers,they",subj,plural
95,"They try, but the settlers fail.",cataphora,"They,the settlers",subj,plural
96,"The settlers fled, but they survived.",subordinate,"The settlers,they",subj,plural
97,"The settlers fled. However, they survived.",independent,"The settlers,they",subj,plural
98,"They fled, but the settlers survived.",cataphora,"They,the settlers",subj,plural
99,"The survivors try, but they fail.",subordinate,"The survivors,they",subj,plural
100,"The survivors try. However, they fail.",independent,"The survivors,they",subj,plural
101,"They try, but the survivors fail.",cataphora,"They,the survivors",subj,plural
102,"The survivors suffered, but they survived.",subordinate,"The survivors,they",subj,plural
103,"The survivors suffered. However, they survived.",independent,"The survivors,they",subj,plural
104,"They suffered, but the survivors survived.",cataphora,"They,the survivors",subj,plural
105,"The survivors struggle, but they survive.",subordinate,"The survivors,they",subj,plural
106,"The survivors struggle. However, they survive.",independent,"The survivors,they",subj,plural
107,"They struggle, but the survivors survive.",cataphora,"They,the survivors",subj,plural
108,"The refugees leave, but they stay.",subordinate,"The refugees,they",subj,plural
109,"The refugees leave. However, they stay.",independent,"The refugees,they",subj,plural
110,"They leave, but the refugees stay.",cataphora,"They,the refugees",subj,plural
111,"The refugees try, but they fail.",subordinate,"The refugees,they",subj,plural
112,"The refugees try. However, they fail.",independent,"The refugees,they",subj,plural
113,"They try, but the refugees fail.",cataphora,"They,the refugees",subj,plural
114,"The refugees go, but they stay.",subordinate,"The refugees,they",subj,plural
115,"The refugees go. However, they stay.",independent,"The refugees,they",subj,plural
116,"They go, but the refugees stay.",cataphora,"They,the refugees",subj,plural
117,"The prisoners fight, but they die.",subordinate,"The prisoners,they",subj,plural
118,"The prisoners fight. However, they die.",independent,"The prisoners,they",subj,plural
119,"They fight, but the prisoners die.",cataphora,"They,the prisoners",subj,plural
120,"The prisoners escape, but they die.",subordinate,"The prisoners,they",subj,plural
121,"The prisoners escape. However, they die.",independent,"The prisoners,they",subj,plural
122,"They escape, but the prisoners die.",cataphora,"They,the prisoners",subj,plural
123,"The prisoners fight, but they lose.",subordinate,"The prisoners,they",subj,plural
124,"The prisoners fight. However, they lose.",independent,"The prisoners,they",subj,plural
125,"They fight, but the prisoners lose.",cataphora,"They,the prisoners",subj,plural
126,"The wolves attacked, but they missed.",subordinate,"The wolves,they",subj,plural
127,"The wolves attacked. However, they missed.",independent,"The wolves,they",subj,plural
128,"They attacked, but the wolves missed.",cataphora,"They,the wolves",subj,plural
129,"The wolves attacked, but they failed.",subordinate,"The wolves,they",subj,plural
130,"The wolves attacked. However, they failed.",independent,"The wolves,they",subj,plural
131,"They attacked, but the wolves failed.",cataphora,"They,the wolves",subj,plural
132,"The wolves attacked, but they lost.",subordinate,"The wolves,they",subj,plural
133,"The wolves attacked. However, they lost.",independent,"The wolves,they",subj,plural
134,"They attacked, but the wolves lost.",cataphora,"They,the wolves",subj,plural
135,"The travelers leave, but they stay.",subordinate,"The travelers,they",subj,plural
136,"The travelers leave. However, they stay.",independent,"The travelers,they",subj,plural
137,"They leave, but the travelers stay.",cataphora,"They,the travelers",subj,plural
138,"The travelers hope, but they fail.",subordinate,"The travelers,they",subj,plural
139,"The travelers hope. However, they fail.",independent,"The travelers,they",subj,plural
140,"They hope, but the travelers fail.",cataphora,"They,the travelers",subj,plural
141,"The travelers argue, but they win.",subordinate,"The travelers,they",subj,plural
142,"The travelers argue. However, they win.",independent,"The travelers,they",subj,plural
143,"They argue, but the travelers win.",cataphora,"They,the travelers",subj,plural
144,"The ghosts leave, but they linger.",subordinate,"The ghosts,they",subj,plural
145,"The ghosts leave. However, they linger.",independent,"The ghosts,they",subj,plural
146,"They leave, but the ghosts linger.",cataphora,"They,the ghosts",subj,plural
147,"The ghosts left, but they stayed.",subordinate,"The ghosts,they",subj,plural
148,"The ghosts left. However, they stayed.",independent,"The ghosts,they",subj,plural
149,"They left, but the ghosts stayed.",cataphora,"They,the ghosts",subj,plural
150,"The ghosts wait, but they leave.",subordinate,"The ghosts,they",subj,plural
151,"The ghosts wait. However, they leave.",independent,"The ghosts,they",subj,plural
152,"They wait, but the ghosts leave.",cataphora,"They,the ghosts",subj,plural
153,"The insects try, but they fail.",subordinate,"The insects,they",subj,plural
154,"The insects try. However, they fail.",independent,"The insects,they",subj,plural
155,"They try, but the insects fail.",cataphora,"They,the insects",subj,plural
156,"The insects live, but they die.",subordinate,"The insects,they",subj,plural
157,"The insects live. However, they die.",independent,"The insects,they",subj,plural
158,"They live, but the insects die.",cataphora,"They,the insects",subj,plural
159,"The insects attack, but they die.",subordinate,"The insects,they",subj,plural
160,"The insects attack. However, they die.",independent,"The insects,they",subj,plural
161,"They attack, but the insects die.",cataphora,"They,the insects",subj,plural
162,"The farmers try, but they fail.",subordinate,"The farmers,they",subj,plural
163,"The farmers try. However, they fail.",independent,"The farmers,they",subj,plural
164,"They try, but the farmers fail.",cataphora,"They,the farmers",subj,plural
165,"The farmers argue, but they lose.",subordinate,"The farmers,they",subj,plural
166,"The farmers argue. However, they lose.",independent,"The farmers,they",subj,plural
167,"They argue, but the farmers lose.",cataphora,"They,the farmers",subj,plural
168,"The farmers complain, but they listen.",subordinate,"The farmers,they",subj,plural
169,"The farmers complain. However, they listen.",independent,"The farmers,they",subj,plural
170,"They complain, but the farmers listen.",cataphora,"They,the farmers",subj,plural
171,"The pirates try, but they fail.",subordinate,"The pirates,they",subj,plural
172,"The pirates try. However, they fail.",independent,"The pirates,they",subj,plural
173,"They try, but the pirates fail.",cataphora,"They,the pirates",subj,plural
174,"The pirates tried, but they lost.",subordinate,"The pirates,they",subj,plural
175,"The pirates tried. However, they lost.",independent,"The pirates,they",subj,plural
176,"They tried, but the pirates lost.",cataphora,"They,the pirates",subj,plural
177,"The pirates fought, but they lost.",subordinate,"The pirates,they",subj,plural
178,"The pirates fought. However, they lost.",independent,"The pirates,they",subj,plural
179,"They fought, but the pirates lost.",cataphora,"They,the pirates",subj,plural
0,"First the woman cooked the eggs, and then she boiled them.",subordinate,"the eggs,them",obj,plural
1,"First, the woman cooked the eggs. Then, she boiled them.",independent,"the eggs,them",obj,plural
2,"First the woman cooked them, and then she boiled the eggs.",cataphora,"them,the eggs",obj,plural
3,"First the woman asked the questions, and then she answered them.",subordinate,"the questions,them",obj,plural
4,"First, the woman asked the questions. Then, she answered them.",independent,"the questions,them",obj,plural
5,"First the woman asked them, and then she answered the questions.",cataphora,"them,the questions",obj,plural
6,"First the woman called the police, and then she called them.",subordinate,"the police,them",obj,plural
7,"First, the woman called the police. Then, she called them.",independent,"the police,them",obj,plural
8,"First the woman called them, and then she called the police.",cataphora,"them,the police",obj,plural
9,"First the mother raised the children, and then she abandoned them.",subordinate,"the children,them",obj,plural
10,"First, the mother raised the children. Then, she abandoned them.",independent,"the children,them",obj,plural
11,"First the mother raised them, and then she abandoned the children.",cataphora,"them,the children",obj,plural
12,"First the mother raised the children, and then she married them.",subordinate,"the children,them",obj,plural
13,"First, the mother raised the children. Then, she married them.",independent,"the children,them",obj,plural
14,"First the mother raised them, and then she married the children.",cataphora,"them,the children",obj,plural
15,"First the mother raised the children, and then she bore them.",subordinate,"the children,them",obj,plural
16,"First, the mother raised the children. Then, she bore them.",independent,"the children,them",obj,plural
17,"First the mother raised them, and then she bore the children.",cataphora,"them,the children",obj,plural
18,"First the owner opened the doors, and then she closed them.",subordinate,"the doors,them",obj,plural
